period,planet_radius,depth,equilibrium_temp,insolation,impact,duration,star_radius,star_mass,star_teff,kepmag,label,source
9.48803557,2.26,615.8,793.0,93.59,0.146,2.9575,0.927,0.919,5455.0,15.347,CONFIRMED,KOI
54.4183827,2.83,874.8,443.0,9.11,0.586,4.507,0.927,0.919,5455.0,15.347,CONFIRMED,KOI
19.89913995,14.6,10829.0,638.0,39.3,0.969,1.7822,0.868,0.961,5853.0,15.436,CANDIDATE,KOI
1.736952453,33.46,8079.2,1395.0,891.96,1.276,2.40641,0.791,0.836,5805.0,15.597,FALSE POSITIVE,KOI
2.525591777,2.75,603.3,1406.0,926.16,0.701,1.6545,1.046,1.095,6031.0,15.509,CONFIRMED,KOI
11.09432054,3.9,1517.5,835.0,114.81,0.538,4.5945,0.972,1.053,6046.0,15.714,CONFIRMED,KOI
4.13443512,2.77,686.0,1160.0,427.65,0.762,3.1402,0.972,1.053,6046.0,15.714,CONFIRMED,KOI
2.56658897,1.59,226.5,1360.0,807.74,0.755,2.429,0.972,1.053,6046.0,15.714,CONFIRMED,KOI
7.36178958,39.21,233.7,1342.0,767.22,1.169,5.022,1.958,1.358,6227.0,12.66,FALSE POSITIVE,KOI
16.06864674,5.76,4914.3,600.0,30.75,0.052,3.5347,0.848,0.801,5031.0,15.841,CONFIRMED,KOI
2.470613377,13.04,14231.0,1339.0,761.46,0.818,1.74319,0.964,0.971,5820.0,11.338,CONFIRMED,KOI
2.204735417,16.1,6674.7,2048.0,4148.92,0.224,3.88864,1.952,1.449,6440.0,10.463,CONFIRMED,KOI
3.522498429,14.59,9145.7,1521.0,1264.67,0.631,3.19843,1.451,1.132,6225.0,13.563,CONFIRMED,KOI
3.709214104,1.16,131.1,1206.0,500.46,0.051,2.6302,1.022,0.974,5833.0,12.772,CONFIRMED,KOI
11.521446064,150.51,17984.0,753.0,75.88,2.483,3.6399,0.848,0.938,5795.0,15.472,FALSE POSITIVE,KOI
19.40393776,7.18,8918.7,523.0,17.69,0.804,12.2155,0.68,0.657,5043.0,15.487,FALSE POSITIVE,KOI
19.221388942,49.29,74284.0,698.0,55.97,1.065,4.79843,0.947,1.025,6117.0,15.341,FALSE POSITIVE,KOI
16.46983774,7.94,10479.0,595.0,29.61,0.292,9.4378,0.786,0.741,5152.0,15.788,FALSE POSITIVE,KOI
9.27358173,2.47,1288.3,649.0,41.85,0.387,3.2875,0.696,0.676,4856.0,15.302,CONFIRMED,KOI
